"image_id","camera","longitude","latitude","date","month","year","season","time_period","veg_type","human_structure","distance_human_m","water_type","distance_water_m","species","species_count","percentage_resting","percentage_standing","percentage_moving","percentage_eating","percentage_interacting","young_present","horns","image_url"
"765256","D25","34.6167","-18.9589","2014-07-21","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5343","River","89","Warthog","1","0","0.0526315789474","0.0526315789474","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D25_Season%202_Set%201_EK006131.JPG"
"765263","D23","34.6172","-18.9591","2014-07-20","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5385","River","81","Bushpig","1","0","0.0909090909091","0.0909090909091","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D23_Season%202_Set%201_EK000304.JPG"
"765264","D25","34.6167","-18.9589","2014-07-20","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5343","River","89","Warthog","2","0.125","0.125","0","0.125","0.125","true","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D25_Season%202_Set%201_EK000167.JPG"
"765266","D25","34.6167","-18.9589","2014-07-20","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5343","River","89","Warthog","2","0","0","0.333333333333","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D25_Season%202_Set%201_EK000179.JPG"
"765269","D23","34.6172","-18.9591","2014-07-20","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5385","River","81","Bushpig","1","0","0.0714285714286","0.0714285714286","0.0714285714286","0","true","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D23_Season%202_Set%201_EK000301.JPG"
"765282","D25","34.6167","-18.9589","2014-07-20","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5343","River","89","Bird (other)","1","0","0.047619047619","0.047619047619","0","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D25_Season%202_Set%201_EK006163.JPG"
"765283","D23","34.6172","-18.9591","2014-07-20","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5385","River","81","Bushpig","1","0","0.142857142857","0.142857142857","0.142857142857","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D23_Season%202_Set%201_EK000291.JPG"
"765287","D45","34.6179","-18.9558","2014-07-20","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5349","River","250","Bushpig","1","0","0.111111111111","0.111111111111","0","0","true","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000778.JPG"
"765297","D45","34.6179","-18.9558","2014-07-19","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5349","River","250","Genet","1","0","0.0666666666667","0.0666666666667","0.0666666666667","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000763.JPG"
"765298","D45","34.6179","-18.9558","2014-07-19","Jul","2014","Dry Jul-Sep","Night 1736-0556","Limestone Gorge","School","5349","River","250","Civet","1","0","0.0588235294118","0.0588235294118","0.0588235294118","0","false","0","http://zooniverse-export.s3-website-us-east-1.amazonaws.com/21484_1000_D45_Season%202_Set%201_EK000761.JPG"
